Pred	OR	low	up
58.84/26 (HR-M)	0,0008	0,0000	0,0498
59.11 (HR-LR)	0,0006	0,0000	0,0386
39.11 (HR-LR)	0,0006	0,0000	0,0341
51.11 (HR-LR)	0,0005	0,0000	0,0279
52.53 (HR)	0,0004	0,0000	0,0358
52.84/26 (HR-M)	0,0004	0,0000	0,0280
16.11 (HR-LR)	0,0004	0,0000	0,0238
56.11 (HR-LR)	0,0003	0,0000	0,0199
58.11 (HR-LR)	0,0003	0,0000	0,0158
43/44.11 (LR)	0,0002	0,0000	0,0127
